Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1/1/2012,21334.84,20494.78,19844.38,19432.68,19249.05,19212.3,20050.05,20675.46,21741.24,22284.07,22268.77,22460.83,21869.46,22019.12,21744.92,22252.02,23133.78,25605.64,26525.77,26579.26,26076.84,24785.03,23698.88,21718
1/2/2012,20514.2,19628.12,19244.34,18971.5,18909.62,19137.67,20241.09,20917.76,21737.85,22792.46,22842.27,22829.83,22688.49,22693.19,22074.25,22502.67,23326.34,26315.57,26968.84,26901.31,26167.2,24866.68,23820.52,21964.87
1/3/2012,20244.45,19444.24,19241.48,19150.97,19582.88,21171.52,23171.39,24940.58,25595.75,26172.63,26109.04,26261.38,25912.19,26129.87,25620.79,25472.62,25731.33,28282.8,28855.06,28660.69,27960.43,26264.54,24310.63,22244.48
1/4/2012,20875.4,20075.78,19700.47,19680.3,20139.7,21341.75,24144.49,25255.39,25768.83,26834.25,26862.29,26576.34,26194.73,26440.84,25994.05,26003.14,26313.08,29113.77,29582.56,29227.36,28348.39,26610.81,24791.44,22476.99
1/5/2012,21419.09,20588.74,20174.65,20064.69,20268.85,21606.58,23919.53,25109.03,25901.57,26914.86,26721.68,26456.44,26201.71,26432.85,26056.98,26173.08,26399.98,28959.34,29360.85,29005.97,28251.35,26784.34,24810.23,22667.34
1/6/2012,21548.71,20584.91,20167.63,20066.39,20576.49,21678.75,23724.32,24873.74,25738.4,26365.77,26170.65,25728.42,25345.51,25420.42,24964.28,25064.59,25505.59,28133.15,28518.37,27931.63,27169.6,25816.54,24335.42,22677.17
1/7/2012,21642.99,20713.86,20151.62,19849.78,19808.02,20235.01,20859.44,21622.65,22727.17,23593.98,23457.2,22939.41,22776.25,22170.13,21720.2,22055.55,22464.69,25671.24,26514.21,26248.99,25825.2,24939.72,23691.9,22228.67
1/8/2012,20887.18,20085.15,19665.04,19394.77,19224.77,19244.38,19819.3,20445.28,21114.41,21950.15,21585.9,21664.3,21387.47,21408.49,21114.01,21383.83,21954.54,25492.92,26221.13,26452.58,25988.02,24732.91,23283.1,21743.26
1/9/2012,20497.63,19887.36,19706.53,19794.17,20218.41,21583.21,23737.21,25263.37,26144.04,26522.18,26519.73,26348.64,26060.55,26226.16,25833.7,25822.87,25918.56,28952.29,29485.11,29028.14,28254.65,26538.57,24448.07,22517.34
1/10/2012,21521.48,20798.68,20464.75,20450,20849.94,22228.29,24888.02,26403.24,26743.27,27300.08,26787.78,26723.51,26309.51,26130.4,25721.15,25633.52,26177.74,28744.35,29621.86,29188.51,28526.89,27097.51,24963.79,22992.02
1/11/2012,21575.7,20797.41,20459.1,20365.99,20781.7,22100.26,24606.68,25908.45,26584.79,27238.57,26775.09,26455.46,26109.33,25897.65,25428.22,25626.72,26149.88,28721.41,29514.35,29116.45,28395.35,27039.72,25242.81,23215.54
1/12/2012,21865.48,20966.32,20634.22,20579.54,20971.68,22083.42,24461.5,25544.32,25768.12,26463,26198.51,25978.09,25922.92,26420.67,26025.58,26109.21,26103.21,28368.1,29516.69,29094.74,28280.56,26634.31,24823.95,22847.29
1/13/2012,21701.57,20928.42,20555.63,20479.52,20529.79,21757.82,24418.76,25867.84,26126.23,26480.66,26393.93,26275.89,25863.15,25979.88,25527.72,25588.03,25746.71,28117.98,28771.64,28246.82,27511.4,25947.99,24687.61,22710.85
1/14/2012,21533.04,20791.06,20281.99,19944.58,20198.99,20511.51,21302.92,22485.33,23443.67,24043.11,23790.86,23406.07,23340.01,23121.47,22354.27,22579.35,23378.35,26305.29,27138.92,26827.66,26281.42,25182.52,23783.08,22061.44
1/15/2012,20824.92,19914.74,19518.66,19229.52,19166.7,19247.61,20286.51,21292.55,22120.44,23151.31,22998.56,23014.85,22702.56,22670.53,22465.13,22663.33,23471.46,26554.49,27511.64,27531.96,26868.19,25356.53,23681.16,21828.15
1/16/2012,20762.99,19908.84,19703.44,19661.41,20102.71,21650.92,23876.78,25736.47,26500.86,27200.31,27357.7,27206.99,26761.52,26389.15,25733.24,25862.18,26655.21,29287.52,30201.07,29984.89,29345.22,27616.46,25427.18,23278.09
1/17/2012,21980.03,21219.18,20783.72,20692.47,21418.72,22840.53,25308.38,26735.15,27011.57,27216.62,27044.21,26793.58,26211.78,26305.72,25698.15,25921.4,26235.98,29331.4,30319.18,29829.08,29352.58,27243.71,25465.03,23308.84
1/18/2012,21964.36,21248.32,20969.26,20937.64,21378.75,22699.31,25494.38,26877.58,27057.8,27213.3,27048.2,26741.89,26107.74,26164.82,25645.68,25657.18,25857.64,28238.33,29716.25,29383.19,28785.88,26947.65,25158.77,22952.23
1/19/2012,21830.93,21095.06,20794.01,20691.7,20993.86,22355.38,25249.65,26701.67,26962.64,27170.94,27046.65,26835.88,26284.28,26343.31,25799.61,25911,26100.95,28353.02,29546.87,29201.07,28565.54,26652.87,24946.26,22815.54
1/20/2012,21601.07,20783.01,20337.17,20234.86,20752.07,21924,24367.41,25933.9,26416.35,26827.28,26762.31,26549.01,26038.31,26062.83,25483.28,25642.63,25804.08,27980.43,28778.67,28039.55,27407.34,26365.43,24650.97,22614.28
1/21/2012,21448.13,20448.98,19859.02,19514.99,19599.05,20281.68,21361.44,22271.23,23187.83,23891.84,23903.18,23848.25,23501.26,23486.4,23232.32,23236.24,23566.16,26070.6,26848.49,26827.74,26427.86,25364.34,23870.61,22209.53
1/22/2012,20950.36,20018.68,19636.37,19465.71,19479.35,19493.83,20120.66,20834,21957.54,22590.71,22523.96,22434.47,22116.74,22123.06,21972.9,22182.18,23113.19,25583.49,26758.07,26880.98,26612.4,25615.29,23527.56,21707.19
1/23/2012,20418.66,19712.98,19389.56,19365.99,19989.28,21629.2,23832.14,25534.28,26355.77,26991.7,27209.81,27132.8,26610.36,26580.78,26011.08,26079.59,26529.97,28807.17,30026.71,29744.11,28928.56,27214.86,25007.2,22775.24
1/24/2012,20930.98,20259.49,20039.53,19995.5,20233.78,21606.54,24356.09,25767.29,26254.13,26822.27,26492.62,26370.71,26297.39,26008.65,25893.25,25662.95,25836.12,28011.42,29163.78,28907.67,28319.66,26679.57,24570.22,22486.77
1/25/2012,21249.47,20567.47,20225.26,20115.63,20461.55,21811.9,24547.99,26411.62,26780.71,27000.71,27149.74,27389.47,26853.88,26978.76,26748.26,26439.7,26756.98,28671.99,29708.06,29367.89,28594.05,26875.4,24789.48,22546.24
1/26/2012,21249.88,20590.42,20050.51,19951.7,20380.56,21868.08,24288.67,25708.44,26486.51,26640.28,26844.89,27020.38,26580.34,26592.59,26529.66,26472.87,26275.05,28034.35,28862.96,28462.36,27852.51,26426.79,24832.15,22511.88
1/27/2012,21047.3,20259.17,19808.84,19704.06,19996.2,20873.72,23208.57,24289.12,25146.74,25579.16,25791.36,25784.22,25211.24,25361.41,25187.19,25098.24,25177.86,26841.01,27621.43,27239.74,26406.86,25083.84,23784.92,22057.15
1/28/2012,20910.42,20163.35,19696.69,19422.63,19322.25,19532.13,21035.92,21694.92,22507.75,23337.26,23425.2,23480.55,23068.26,23016.99,22607.05,22644.25,22801.95,24796.77,26042.1,25926.15,25349.44,24362.96,23187.12,21511.11
1/29/2012,20518.08,19852.37,19412.54,19158.3,18839.71,18880.43,19999.43,20618.71,21236.72,21839.99,21980.59,22016.25,21736.91,21754.34,21622.68,21811.06,22239.07,24942.89,26105.28,26250.63,25834.48,24606.51,22467.8,20954.08
1/30/2012,20101.43,19441.53,19202.89,19225.96,19878.77,21117.94,23706.19,25213.11,25885.81,26290.77,26427.8,26475.81,26122.85,26231.84,25733.64,25841.74,25606.05,28025.27,29075.8,28647.96,27802.61,26204.75,24145.25,22097.51
1/31/2012,20997.79,20401.21,20019.58,19976.26,20414.24,21946.35,24721.76,25666.57,26248.1,26407.51,26213.51,26359.28,25972.08,25746.96,25589.19,25497.47,25691.16,27819.6,28672.01,28544.88,27702.26,25980.68,24294.94,22209.32
2/1/2012,21167.86,20412.93,20054.86,19991.37,20420.41,21603.31,24376.34,25890.19,26350.23,26571.45,26522.34,26802.18,26142.48,26129.73,26216.51,25978.85,25995.07,27600.93,28707.42,28553.32,27694.82,25979.03,24266.27,22440.96
2/2/2012,21597.14,20864.68,20472.1,20344.06,20986.23,22078.41,25208.99,26373.5,26073.08,26205.45,26370.07,26345.6,25903.98,25787.4,25699.96,25515.99,25193.2,27152.26,28385.57,28048.3,27327.96,26066.21,24033.99,22486.1
2/3/2012,21567.6,20823.23,20408.97,20267.03,20690.58,22112.71,25049.86,26251.97,26497.09,26630.96,26693.05,26494.53,26205.86,26119.01,25834.18,25420.66,25241.66,26899.39,28129.64,27192.99,26500.78,25600.55,24069.13,22579.03
2/4/2012,21681.93,20837.69,20358.64,20015.27,20062.74,20932.48,22009.13,23016.99,23819,23705.02,23899.9,23786.75,23702.84,23335.64,23017.36,23023.24,23049.95,25057.73,26512.25,26174.91,25655.87,24674.37,23247.62,21975.59
2/5/2012,21039.2,20282.77,19780.68,19486.99,19483.14,19909.48,20817.49,21391.91,21854.79,22158.97,22385.92,22397.92,22278.32,22104.83,21958.25,21913.98,22241.76,24826.47,25848.64,26000.48,25409.51,24419.4,22629.23,21216.95
2/6/2012,20170,19549.94,19272.01,19319.4,19857.53,21462.01,23997.43,25525.19,25954.12,26050.72,26626.68,26622.74,26487.33,26290.71,26196.98,25953.57,26023.93,27745.42,28783.13,28581.47,27637.1,26163.63,23828.16,22023.62
2/7/2012,20488.27,19666.95,19318.34,19267.63,19641.56,20974.33,24820.18,26142.97,26099.78,26459.6,26719.03,26743.46,26547.87,26483.38,26021.06,25758.46,25755.17,27410.52,28639.9,28467.88,27686.28,25873.63,23885.84,21929.57
2/8/2012,20460.49,19636.26,19298.22,19181.48,19536.89,20868.78,24525.19,25731.76,25940.01,26141.66,26332.53,26353.67,26251.63,26043.11,25947.26,25729.28,25857.15,27550.13,28923.57,28542.04,27701.27,26167.24,24070.38,21718.67
2/9/2012,20508.01,19731.88,19243.1,19147.2,19639.8,21249.4,24449.78,25340.58,25548.13,25844.58,26051.06,26119.82,25632.51,25783.89,25758.21,25793.02,25696.8,27401.89,28881.37,28367.1,27447.38,25702.48,23611.02,21495.13
2/10/2012,20335.06,19564.73,19126.92,19022.11,19541.09,21112.97,23872.32,25339.23,25824.58,26197.63,26464.52,26466.53,26376.62,26378.33,26153.71,25892.36,25823.27,27068.36,28265.99,27501.08,26641.25,25320.53,23625.36,21667.93
2/11/2012,20326.89,19430.57,18896,18614.87,18705.52,19336.62,20502.56,21131.56,22517.99,23233.24,23362.4,23480.65,23231.74,22886.21,22646.11,22593.56,22988.87,24357.25,26063.94,25706.87,25140.68,23951.54,22787.8,21124.63
2/12/2012,19523.32,18823.67,18355.27,18185.98,18118.45,18160.27,19038.06,19689.2,20184.7,21008.74,21381.42,21638.37,21555.79,21490.75,21391.73,21767.25,22051.82,24086.94,25867.86,25965.6,25316.56,23873.55,22255.97,20677.45
2/13/2012,19412.88,18702.42,18374.89,18443.51,18854.46,20468.29,23654.61,24959.81,25747.29,26210.37,26586.31,26561.28,26329.96,26188.42,25811.2,25844.12,25941.98,27551.05,29078.07,28673.09,28170.54,26379.69,24109.48,21949.32
2/14/2012,20779.66,20062.39,19641.95,19598.66,20173.62,21874.22,24716.96,25644.56,25659.7,26197.59,26288.42,26087.24,25780.47,25713.4,25364.93,25529.23,25910.77,27310.26,29006.63,28820.91,28057.02,26375.15,24224.87,22117
2/15/2012,21049.34,20220.48,19849.61,19799.78,20308.18,21566.13,24999.38,26056.54,26062.49,26552.63,26365.3,26108.05,25668.94,25713.45,25496.87,25467.98,25424.73,26602.51,28579.28,28524,28083.43,26249.42,24373.58,22198.17
2/16/2012,20777.1,20158.17,19737.52,19718.35,20133.43,21467.76,24116.68,25391.1,25609.82,25665.77,25723.47,25479.82,25503.58,25158.81,25286.89,25134.73,24759.84,25971.27,28047.44,27764.48,27279.34,25512.95,23741.84,21741.11
2/17/2012,20644.54,20024.88,19616.58,19610.73,20008.08,21265.37,23829.42,25104.91,25389.35,25515.92,25627.76,25640.61,25206.48,25392.1,25150.19,25021.7,24961.86,25739.6,27367.81,27006.49,26471.43,24930.28,23769.17,21845.19
2/18/2012,20685.77,19801.94,19271.13,18999.85,19097.36,19678.96,20217.56,21093.15,22215.55,22870.83,23088.12,22950.28,22790.25,22322.72,22044.2,22389.34,22771.36,23760.52,25743.41,25354.84,24979.46,23714.29,22722.68,21044.75
2/19/2012,19944.67,19143.81,18695.52,18396.45,18410.05,18812.79,18690.6,19367.01,20209.91,20808.04,21139.09,21139.34,20889.09,20796.44,20620.52,20982.29,21274.18,23088.84,25166.62,25522.69,25165.09,23490.38,22075.85,20283.41
2/20/2012,19373.36,18948.1,18520.04,18518.05,19252.94,20391.67,22017.49,22883.9,23803.08,24366.38,24839.04,24906,24400.37,24131.63,24101.16,24051.8,24157.16,25584.86,27814.44,27597.67,26635.21,24673.24,23145.43,21188.95
2/21/2012,20446.39,19695.23,19362.94,19343.21,19884.53,21352.5,23627.36,24784.18,25180.43,25584.93,25724.78,25600.03,25597.61,25401.76,25094.2,25153.78,25332.84,26296.69,28241.32,27974,27231.92,25340.84,23863.25,21537.52
2/22/2012,20169.61,19443.28,19165.55,19007.62,19488.19,20669.64,23393.29,24709.9,25119.5,25694.19,26080.52,26073.83,26008.81,26148.34,25964.95,25849.81,26085.56,26535.29,28859.91,28016.61,27237.15,25590.35,23484.38,21442.34
2/23/2012,20292.62,19591.6,19134.61,19052.89,19588.09,21180.43,23508.03,24761.05,25335.37,25774.67,26085.1,26133.79,25817.79,25737.37,25738.82,25528.46,25169,26567.82,27950.51,27798.61,26944.4,25022.49,23250.15,21198.09
2/24/2012,19866.12,19231.34,18740.57,18656.51,19004.69,20203.06,23027.85,24425.16,24940.65,25377.38,25573.96,25672.31,25213.86,25419.27,25146.42,25045.57,24937.97,25678.97,27153.57,26724.84,26138.48,24574.92,23254.34,21104.29
2/25/2012,19976.91,19217.59,18757.9,18637.52,18623.96,19297.31,19588.43,20516.16,21603.24,22331.63,22588.95,22533.86,22316.99,22067.22,21575.4,21791.05,21895.49,22969.99,25000.24,25103.1,24604.86,23249.83,22008.61,20421.14
2/26/2012,19500.9,18888.64,18402.26,18184.63,18065.32,18206.58,18681.94,19439.52,20487.36,21088.77,21312.89,21353.86,21245,21149.85,21241.14,21463.16,21842.78,22729.44,25166.17,25558.91,25000.06,23730.44,22386.87,20376.92
2/27/2012,19642.08,18995.63,18672.18,18767.77,19456.28,21271.39,23160.41,24617.42,25061.27,25564.33,26082.72,25902.99,25616.38,25553.11,25120.24,25078.5,25080.77,26391.72,28572.99,28597.19,27830.93,25934.16,23878.63,22001.13
2/28/2012,21080.95,20308.35,19921.76,19911.67,20575.4,22283.36,24035.49,25380.15,25802.66,25995.56,26066.92,25913.35,25482.72,25494.93,25116.74,25144.5,25139.93,26357.49,28594.5,28493.18,27855.61,26028.13,24393.93,22250.9
2/29/2012,21576.66,21142.77,20709.48,20704.42,21080.65,22118.37,24311.19,25514.56,25767.02,25960.31,26430.4,26203.3,25884.99,25767.64,25440.39,25365.2,25710,26425.77,28523.43,28498.01,27888.43,26232.5,24475.89,22515.45
3/1/2012,21681.66,21411.63,20838.64,20838.48,21296.3,22184.86,24296.92,25616.52,26075.82,26074.24,26202.42,25944.84,25437.33,25323.89,24981.68,24972.59,25018.11,25799.83,27892.13,27713.8,27347.22,25745.27,24069.72,22175.3
3/2/2012,21114.18,20631.84,20215.13,20180.44,20427.63,21618.14,23584.03,24542.49,24981.16,25076.17,25247.57,25384.23,24758.67,24996.39,24710.11,24516.48,24189.94,24728.37,26580.87,26294.05,25965.22,24477.76,23310.07,21744.17
3/3/2012,20960.34,20139.58,19459.9,19291.36,19276.49,20205.62,21083.81,21704.7,22570.09,23044.06,23112.43,23299.53,23027.78,22823.08,22596.54,22465.65,22715.47,23383.48,25408.61,25049.35,24613.37,23708.68,22259.47,21197.03
3/4/2012,20255.34,19565.76,19234.15,18809.15,18586.71,18665.89,19691.85,20214.9,20927.89,21372.02,21802.7,22075.6,22168.24,22254.52,22352.93,22280.45,22981.49,23776.41,25651.01,25829.49,25328.19,23877.46,22166.49,20527.21
3/5/2012,19964.62,19244.29,18932.87,18923.18,19494.52,21153.57,23524.31,24412.1,25299.57,25776.3,26001.91,26040.33,26019.57,26214.35,26012.67,26273.46,26519.66,26996.88,28465.46,28684.68,27575.7,26201.6,23566.85,21470.92
3/6/2012,20817.39,19844.87,19385.94,19346.04,19914.55,21475.07,23648.06,25135.01,25734.72,26139.17,26312.84,26414.19,26247.67,26086.28,25832.14,25693.34,25948.27,26562.88,28179.58,28465.71,27676.15,26274.9,24057.64,21819.01
3/7/2012,20711.75,19912.02,19466.94,19494.95,19929.43,21276.74,23820.01,25016.06,25868.46,26311.12,25806.56,26066.83,25687.82,25620.11,25458.28,24947.37,25314.51,25801.66,27706.99,28055.47,27619.05,25516.9,23971.48,21802.13
3/8/2012,21009.02,20417.13,20011.85,20068.27,20503.99,21721.44,23977.32,25261.68,26031.61,26656.5,26224.04,26120.01,25935.63,25951.4,25949.26,25661.39,25834.78,26137.79,28041.14,28224.14,27699.77,26025.82,24067.34,21732.17
3/9/2012,21176.79,20343.98,19941.66,19933.44,20480.12,21442.78,24302.94,25412.21,26017.78,26275.62,26507.01,26501.87,26381.24,26391.4,26261.65,26122.13,26042.87,26422.59,27591.48,27858.73,27106.95,25892.39,23975.02,21724.2
3/10/2012,20829.86,19945.39,19430,19119.15,19318.08,19794.98,20477.99,21207.63,22022.58,22410.65,22635.68,22875.73,22953.01,22895.6,22741.84,22376.21,23035.79,23774.97,25453.49,25488.3,25023.03,24171.47,22377.42,20629.28
3/11/2012,19709.9,19072.44,18767.625,18462.81,18425.88,18755.7,19110.58,19733.72,20573.75,21060.72,21152.49,21490.36,21549.52,21580.06,21284.24,21376.74,21857.12,21923.37,23203.25,24771.51,25090.66,23411.11,22099.7,20506.22
3/12/2012,19753.38,19226.31,18992.5,19045.89,19518.81,20857.8,23085.99,24795.22,25458.57,25741.15,25680.81,25365.85,25505.84,25593.2,25485.74,25300,25224.11,25253.95,26253.3,27595.08,27831.76,25894.16,24054.23,21962.26
3/13/2012,21066.82,20176.03,19642.29,19604.3,20034.54,20971.88,23553.63,24873.39,25099.28,25605.26,25994.12,25954.79,25850.96,25967.21,25651.53,25508.18,25653.35,25532.86,26490.88,27775.78,27875.08,26160.04,24570.96,22455.54
3/14/2012,20996.88,20247.68,19702.9,19538.82,19819.33,20869.37,23462.64,25102.43,25567.8,25953.38,25967.85,25713.99,25924.08,26090.14,25886.04,25800.6,25833.04,25376.4,26120.68,27401.25,27443.26,25902.98,24264.27,22171.06
3/15/2012,21145.26,20362.59,19765.36,19718.45,20136.82,21191.34,23758.8,25495.38,25681.01,26133.78,26394.41,26384.32,26499.55,26600.26,26581.13,26438.87,25954.19,25776.67,26635.94,27775.59,27728.49,26716.53,24348.5,22375.71
3/16/2012,20998.45,20076.49,19676.91,19519.66,19874.86,21286.42,23423.31,25325.2,25777.48,25940.03,26055.49,26212.65,26170.54,26115.07,26063.29,25642.46,25724.66,25204.65,25879.89,26772.44,26970.3,26212.75,24272.44,22107.16
3/17/2012,21296.39,20171.82,19544.52,19235.75,19226.05,19708.02,20427.89,21034.95,21793.34,22777.2,23079.73,22992.88,22979.31,22898.13,22607.26,22592.19,22737.38,22706.84,23798.31,25070.62,25597.91,24768.92,23464.74,21884.69
3/18/2012,20553.15,19892.84,19343.31,18979.72,18959.16,19155.25,19914.8,20891.54,21711.94,22091.11,22289.68,22586.52,22743.6,22481.47,22355.58,22640.65,23027.57,23498.34,24613.86,25956.94,26051.09,24915.89,23528.53,21857.31
3/19/2012,20828.16,20294.47,19998.69,19990.8,20544.08,21842.31,24019.74,25362.13,25581.02,25987.61,26299.86,26218.52,25839.03,25846.94,25454.87,25148.48,24982.14,25127.12,26042.69,27770.98,27849.89,26379.83,24535.82,22546.43
3/20/2012,21400.6,20692.21,20214.8,20106.49,20496.67,22166.48,24734.52,25950.19,26028.49,26241.88,26317.87,26697.62,26422.6,26337.67,26012.99,25718.3,25870.94,25218.41,26006.33,27692.65,27967.01,26647.85,24537.57,22762.37
3/21/2012,21113.47,20276.51,19930.2,19732.18,20293.54,21312.86,23575.61,25051.88,25507.36,25939.79,26166.23,26203.2,26095.76,26085.64,25786.39,25662.93,25456.46,24616.4,25758.76,27095,27479.95,26195.06,24016.55,22081.86
3/22/2012,20968.56,19988.93,19146.85,19024.22,19480.04,20973.24,23668.12,25335.82,25921.18,26427.06,26737.2,26755.25,26463.6,26346.75,26128.8,25950.49,25710.38,24883.98,25844.75,27575.12,27914.04,26673.24,24345.18,22310.24
3/23/2012,20546.08,19644.26,19231.53,19073.88,19328.5,20289.45,22696.32,24135.55,24585.56,25003.92,25220.28,25414.34,25286.36,25331.47,25241.38,24968.45,24836.9,24366.5,24693.94,26007.1,26397.28,25290.68,23751.53,21790.65
3/24/2012,20276.93,19631.11,18974.96,18704.55,18324.11,18601.46,20008.24,20530.41,21478.05,22760.61,22704.55,22661.75,22752.76,22661.62,22383.21,22518.88,22488.3,22356.98,23501.85,24419.13,24990.91,24518.3,23267.77,21798.08
3/25/2012,19955.71,19186.22,18846.57,18420.62,18268.31,18028.56,19321.13,19834.73,20362.34,21174.77,21613.51,21809.41,21553.75,21609.96,21518.84,21792.02,22227.78,22424.52,23679.34,24765.72,25476.37,24685.86,23107.16,21087.79
3/26/2012,19660.9,19068.03,18701.96,18677.06,19237.61,20679.64,23623.35,25103.98,25840.47,26415.13,26390.72,26605.92,26382.34,26275.52,26037.47,25895.39,25676.85,25462.11,26497.8,27669.87,28017.65,26836.31,24182.42,22261.41
3/27/2012,20258.15,19771.9,19786.32,19674.17,19883.91,20686.74,23883.19,25552.74,25742.21,26148.83,26384.57,26381.38,26295.7,26452.6,26254.54,26099.1,25872.05,25345.86,26425.08,28006.22,28283.01,26900.02,24644.33,22454.15
3/28/2012,21330.77,20352.17,19894.62,19694.14,20148.1,21400.42,23542.38,25716.23,25921.03,26201.39,26282.13,26292.67,26163.05,26142.49,26006.13,25888.4,25670.16,25262.42,25774.42,27915.03,28283.95,26558.55,24918.49,22914.42
3/29/2012,21222.47,20262.76,19780.14,19653.43,20124.78,21559.51,23562.7,24898.32,25219.37,25971.48,25891.11,25623.47,25597.07,25825.16,25824.36,25648.4,25677.56,25494.73,25945.3,27402.7,27841.03,26742.64,24440.31,22380.52
3/30/2012,21015.35,20199.85,19659.25,19465.98,19858.72,20488.18,22485.39,23820.56,24446.29,25122.75,25247.91,25322.39,25094.37,25210.71,25045.3,24940.69,25154.6,24528.69,24823.43,26132.83,26570.41,25793.76,24150.84,22059.26
3/31/2012,20712.3,19815.66,19333.1,19178.23,19225.78,18907.13,19832.92,20704.43,21669.99,22952.29,23067.42,23134.51,22956.86,22740.71,22418.18,22567.32,22795.83,22912.72,23393.51,24407.5,25264.26,24878.95,23576.32,21350.96
